nct_id,official_title,experimental_drugs,biomarkers,primary_outcomes,efficacy_status,reasoning
NCT00362882,Randomized Phase II Trial of Sequential Versus Concurrent Docetaxel and PS-341 (NSC 681239) in Previously Treated Non-Small Cell Lung Cancer (NSCLC),bortezomib,Unselected,"The primary outcome, Overall Response Rate (ORR), was 10% for Arm 1 (docetaxel + bortezomib on days 1 & 8) and 10% for Arm 2 (docetaxel + bortezomib on days 2 & 8).",UNCERTAIN,"While the Overall Response Rates for the primary endpoint are reported as 10% for both arms, no statistical analysis (e.g., p-value or confidence interval comparing arms) is provided to determine if the primary endpoint met statistical significance. Therefore, the efficacy status is uncertain based on the provided data."
NCT00363766,"A Phase 2 Study of LY573636-Sodium Administered as an Intravenous Infusion on Day 1 of a 21-Day Cycle as Third-line Treatment in Patients With Unresectable, Metastatic Non-Small Cell Lung Cancer",LY573636-sodium,Unselected,"The primary endpoint was Time to Progression (TTP). For the LY573636 420 µg/mL Cmax group, median TTP was 3.12 months (90% CI: 2.04, 4.21). For the LY573636 380 µg/mL Cmax group, median TTP was 1.64 months (90% CI: 1.35, 5.19). Notably, the Objective Response Rate (a secondary endpoint) was 0% for both groups.",NEGATIVE,"The study reported median Time to Progression for two dosing groups but did not provide p-values for statistical significance against a comparator or a pre-defined efficacy threshold. As a single-arm Phase 2 study, without explicit 'p < 0.05' for the primary endpoint and with a 0% objective response rate for both groups (a key indicator of anti-tumor activity), the drug failed to demonstrate sufficient efficacy to meet the 'POSITIVE' criterion."
NCT00364351,"A Phase III, International, Randomised, Double Blind, Parallel-Group Study to Assess the Efficacy of Zactima™ Versus Tarceva® in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer After Failure of at Least One Prior Chemotherapy",Vandetanib,Unselected,"The primary endpoint, Progression-Free Survival (PFS), showed a median of 11.3 weeks for Vandetanib and 8.9 weeks for Erlotinib. However, no p-value or hazard ratio with confidence interval is provided to assess statistical significance.",UNCERTAIN,"While median PFS values are reported for both arms, the data does not include a p-value or hazard ratio with confidence interval for the primary endpoint. Without these statistical measures, it is impossible to determine if the difference was statistically significant (p < 0.05) and thus, whether the primary endpoint was met."
NCT00367679,"A Phase II Open-Label Multicenter Study to Evaluate the Safety and Efficacy of Pazopanib (GW786034) as Neoadjuvant Therapy in Treatment-Naïve Subjects With Stage IA, IB, IIA or IIB (to T2) Resectable Non-Small Cell Lung Cancer (NSCLC)",Pazopanib,Unselected,"The primary outcome, number of participants achieving tumor shrinkage based on change in tumor volume (defined as at least 50% reduction), showed that 2 out of 35 participants (5.7%) were responders. The 95% confidence interval for this response rate was 0.7% to 19.2%.",UNCERTAIN,"The primary endpoint reported a 5.7% response rate with a 95% confidence interval of 0.7% to 19.2%. However, no p-value was provided in the outcome analysis to determine if the primary endpoint met statistical significance (p < 0.05) against a predefined hypothesis or threshold, as required by the 'POSITIVE' definition. Therefore, the efficacy status for meeting the primary endpoint cannot be definitively determined based on the provided criteria."
NCT00368927,"Randomized, Phase IIb Trial of Sulindac in Smokers With Bronchial Dysplasia",sulindac,Unselected,"The primary outcome, percentage of participants with response determined by change in histologic grade of bronchial dysplasia, showed no statistically significant difference between the sulindac and placebo arms. Complete response was 38.5% for sulindac vs 48.2% for placebo, and partial response was 19.2% for sulindac vs 7.4% for placebo, with an overall p-value of 0.85.",NEGATIVE,"The primary endpoint's p-value was 0.85, which is greater than 0.05, indicating no statistically significant difference in response rates between the experimental drug (sulindac) and placebo."
NCT00368992,"A Phase II Trial of Combination Carboplatin, Paclitaxel, Cetuximab and Bevacizumab (NSC-704865) Followed By Cetuximab and Bevacizumab in Patients With Advanced Non-Small Cell Lung Cancer",cetuximab; bevacizumab,Unselected,"The primary endpoint, Grade 4 hemorrhage toxicity, occurred in 2% of patients (95% CI 0-7%). Secondary outcomes included a median Progression-Free Survival of 7 months (95% CI 6-8 months), median Overall Survival of 15 months (95% CI 11-21 months), and a Response Rate of 56% (95% CI 44-65%).",UNCERTAIN,"The primary endpoint was a safety measure (Grade 4 hemorrhage rate), reporting a descriptive value (2% with 95% CI). This outcome does not provide a p-value or a comparison to a predefined efficacy threshold, making it impossible to apply the 'met significance (p < 0.05)' or 'failed (p >= 0.05)' criteria for efficacy analysis as defined."
NCT00370292,Pemetrexed Monochemotherapy in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer. A Pilot Study to Define the Best Dosing Schedule for a Planned Phase II Randomized Trial,Pemetrexed,Unselected,"The study evaluated the mean expression of deoxycytidine kinase (dCK) and human equilibrative nucleoside transporter 1 (hENT) at various time points after Pemetrexed administration. For dCK expression, significant changes from pre-dose were observed at 1, 2, 4, 24, and 48 hours post-dose (all p<0.05), but not at 6 hours post-dose (p=0.166). For hENT expression, significant changes were observed at 1, 2, 24, and 48 hours post-dose (all p<0.05), but not at 4 hours (p=0.333) or 6 hours post-dose (p=0.849).",MIXED,"Both primary endpoints, measuring dCK and hENT expression, reported multiple comparisons. While many of these comparisons demonstrated statistically significant changes (p < 0.05), some specific time points within each primary endpoint did not achieve statistical significance (p >= 0.05). This indicates a mixed outcome regarding the reproducible timing of expression changes."
NCT00372775,A Phase 2 Efficacy And Safety Study Of SU011248 In Patients With Non-Small Cell Lung Cancer And Brain Metastases,Sunitinib,Unselected,"The primary endpoint, median Progression-Free Survival (PFS), was 9.4 weeks (90% Confidence Interval: 7.5, 13.1 weeks) in the Sunitinib arm.",UNCERTAIN,"This was a single-arm Phase 2 study. The primary endpoint, median Progression-Free Survival (PFS), was reported as 9.4 weeks (90% CI: 7.5, 13.1 weeks). No p-value was provided to assess statistical significance against a null hypothesis, and the confidence interval is for the median value itself, not a ratio or difference where crossing 1.0/0 would indicate failure. Therefore, based on the provided definitions for efficacy status, it is 'UNCERTAIN'."
NCT00373425,"A Multi-center, Randomized, Double-blind, Placebo-controlled, Phase 3 Study of Single-agent Tarceva® (Erlotinib) Following Complete Tumor Resection With or Without Adjuvant Chemotherapy in Patients With Stage IB-IIIA Non-small Cell Lung Carcinoma Who Have EGFR-positive Tumors",Erlotinib,EGFR,"The primary endpoint, Disease-Free Survival (DFS), did not show a statistically significant benefit for erlotinib compared to placebo. The initial analysis yielded a Hazard Ratio (HR) of 0.90 (95% CI 0.741-1.104, p=0.3235), and an updated analysis showed an HR of 0.94 (95% CI 0.780-1.144, p=0.5620).",NEGATIVE,"The primary endpoint (Disease-Free Survival) did not achieve statistical significance in either of the reported analyses (p-values of 0.3235 and 0.5620, both > 0.05), and the 95% confidence intervals for the Hazard Ratios (0.741-1.104 and 0.780-1.144) both crossed 1.0, indicating no statistically significant difference between the erlotinib and placebo arms. The study's hierarchical testing procedure stopped due to the lack of significance in DFS."
NCT00387465,A Phase I/II Study of Entinostat in Combination With 5-Azacytidine in Patients With Recurrent Advanced Non-Small Cell Lung Cancer,Azacitidine; Entinostat,Unselected,"The Phase I primary endpoint, Maximum Tolerated Dose (MTD), was determined to be 40 mg/m2 for azacitidine in combination with entinostat. The Phase II primary efficacy endpoint, Objective Response Rate (ORR), was 5.88% (1 complete response, 1 partial response out of 34 evaluable patients). No statistical significance (p-value) was reported for the ORR.",UNCERTAIN,"The primary efficacy endpoint (Objective Response Rate) reported an observed rate of 5.88% but did not provide a p-value for statistical significance. Therefore, it is not possible to determine if the endpoint met significance (p < 0.05) or failed (p >= 0.05) according to the defined rules. The other primary endpoint was for Phase I MTD determination, which is a safety/feasibility outcome, not an efficacy outcome."
NCT00390806,"A Randomized, Phase III, Open-Label Study of Oral Topotecan Plus Whole-Brain Radiation Therapy (WBRT) Compared With WBRT Alone in Patients With Brain Metastases From Non-Small Cell Lung Cancer",topotecan,Unselected,"The primary endpoint, Overall Survival, showed a median OS of 4.0 months (95% CI: 3.4-4.8) for topotecan plus WBRT versus 3.6 months (95% CI: 3.0-4.0) for WBRT alone. The Hazard Ratio was 0.88 (95% CI: 0.73-1.07) with a p-value of 0.1862.",NEGATIVE,"The primary endpoint, Overall Survival, did not meet statistical significance. The p-value (0.1862) was greater than 0.05, and the 95% Confidence Interval for the Hazard Ratio (0.73-1.07) crossed 1.0, indicating no statistically significant benefit for the experimental arm over WBRT alone."
NCT00391274,Phase 3 Study of Pemetrexed Versus Docetaxel in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer Who Have Had Prior Chemotherapy,pemetrexed,Unselected,"The primary endpoint, Overall Survival, did not show a statistically significant difference between the pemetrexed and docetaxel arms. The median overall survival for pemetrexed was 11.4 months (95% CI: 8.6-13.4) and for docetaxel was 11.5 months (95% CI: 8.9-15.2) at 30 months. The hazard ratio was 1.02 (95% CI: 0.74-1.40, p=0.9256).",NEGATIVE,"The primary endpoint, Overall Survival, failed to meet statistical significance with p-values of 0.4921 (24 months) and 0.9256 (30 months), both exceeding the 0.05 threshold. Additionally, the 95% confidence intervals for the Hazard Ratios (0.78-1.68 and 0.74-1.40) crossed 1.0, indicating no significant difference between the treatment arms."
NCT00400829,A Phase 2 Study of the Halichondrin B Analog E7389 in Patients With Advanced Non-Small Cell Lung Cancer (NSCLC) Previously Treated With a Taxane,eribulin mesylate,Unselected,"The primary outcome, Objective Response Rate (ORR), was 5% (5 patients out of 66) in the eribulin mesylate arm.",UNCERTAIN,"This was a single-arm Phase 2 study. The Objective Response Rate was reported as 5%, but no statistical comparison, p-value, or predefined success threshold was provided to determine if the primary endpoint was met with significance. Therefore, the efficacy status cannot be determined as positive or negative based on the available data."
NCT00402051,A Randomized Phase 2 Study of Pemetrexed in Combination With Cisplatin or Carboplatin in the First Line Therapy of Advanced NSCLC,Pemetrexed,Unselected,"The primary endpoint was the percentage of participants surviving progression-free at 6 months (PFS Rate). For Pemetrexed + Cisplatin, the 6-month PFS rate was 52.8% (95% CI: 40.3-65.3). For Pemetrexed + Carboplatin, the 6-month PFS rate was 39.3% (95% CI: 27.8-50.8). Hypothesis testing was done independently for each treatment arm, but specific p-values or statements regarding statistical significance for these tests were not reported.",UNCERTAIN,"Although 6-month PFS rates and confidence intervals are reported for the primary endpoint in both arms, the study explicitly states 'Hypothesis testing was done independently for each treatment arm' but does not provide the p-values for these tests or a clear statement confirming whether the primary endpoint met statistical significance against any predefined threshold. Without this information, it is not possible to determine if the primary endpoint met significance (p < 0.05) or failed (p >= 0.05) as per the specified criteria for POSITIVE or NEGATIVE outcomes."
